Category,Position,Role,Description
Forwards,ST,Advanced Forward,최전방에서 다재다능한 공격 수행
Forwards,ST,Poacher,오직 득점에 집중하는 공격수
Forwards,ST,False 9,공격수이지만 중원으로 내려와 플레이메이킹
Forwards,ST,Target Forward,피지컬을 활용해 공을 지켜내는 스트라이커
Forwards,RW/LW,Winger,측면을 넓게 활용하여 크로스 및 돌파
Forwards,RW/LW,Inside Forward,중앙으로 컷인하여 슛을 시도
Forwards,RW/LW,Wide Playmaker,측면에서 중앙으로 이동하며 패스 창출
Midfielders,CAM,Playmaker,공격의 중심에서 창의적인 패스와 전개
Midfielders,CAM,Shadow Striker,공격수 뒤에서 침투하여 득점
Midfielders,CAM,Classic No. 10,수비 가담 없이 창의적 공격 조율
Midfielders,CM,Box-to-Box,공수 전환을 활발하게 오가는 미드필더
Midfielders,CM,Holding,수비 보호에 중점을 둔 미드필더
Midfielders,CM,Deep-Lying Playmaker,후방에서 경기 조율
Midfielders,LM/RM,Wide Midfielder,측면에서 패스 옵션 및 수비 지원
Midfielders,CDM,Holding,후방 수비 보호 및 역습 차단
Midfielders,CDM,Centre-Half,센터백처럼 내려와 수비 지원
Midfielders,CDM,Deep-Lying Playmaker,수비 전환 후 공격 패스 공급
Defenders,LB/RB,Fullback,기본적인 측면 수비 역할
Defenders,LB/RB,Falseback,공격 시 중앙으로 이동하는 풀백
Defenders,LB/RB,Wingback,공수 겸업이 활발한 측면 수비수
Defenders,CB,Defender,기본적인 센터백 역할
Defenders,CB,Stopper,적극적으로 압박하며 공격 차단
Defenders,CB,Ball-Playing Defender,공을 운반하며 빌드업을 돕는 센터백
Goalkeepers,GK,Goalkeeper,골문에서 세이브에 집중
Goalkeepers,GK,Sweeper Keeper,공격적인 빌드업 및 뒷공간 차단
